Origin,Price,Q-Score,Processing Method,Coffee Variety,Fragrance,Aroma,Brightness,Flavor,Body,Finish,Sweetness,Clean Cup,Complexity,Uniformity,Cuppers Correction,Final
Central America,6.55,88.4,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.59151007,8.69279027,8.51936367,8.72073767,9.04976767,8.52234477,8.66485527,8.49240327,8.68053457,8.46569277,2,88.1548653
Africa,6.05,88.5,Wet Process,Bourbon Types,8.69584089,8.80021199,8.79880819,9.01756579,8.52344619,8.61280169,8.67213259,8.49947559,8.88019289,7.99952419,2,88.1339311
South America,7.15,88.5,Wet Process,"Caturra Types, Bourbon Types, Heirloom Types",8.7906485,8.8861818,8.2333136,8.8836317,9.054595,8.721652,8.6706238,8.2978048,8.978591,8.4829578,1.5,88.132597
Africa,6.5,88.5,Honey Process,Bourbon Types,8.60101745,8.71375225,8.62586645,8.90162515,9.12893055,8.61485815,8.75173425,8.19515655,8.77729275,8.18976645,2,88.1151875
Africa,6.75,88.5,Dry Process,Heirloom Types,8.49948295,8.52208885,7.48988425,8.76095855,9.32338705,7.83717855,8.62129195,7.50211125,9.15683355,8.28678305,4.5,88.0707335
Central America,6.85,88.4,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.70783678,8.79837478,8.72674428,8.89771808,9.21355878,8.70783678,8.75887268,8.49761738,8.59831968,8.49312078,1,88.0542582
Central America,6.85,88.4,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.70922951,8.79975801,8.61011891,8.89909171,8.71938421,8.70922951,8.67168241,8.49903111,8.78794101,8.49453361,1.5,88.0376989
Central America,6.5,88.4,Wet Process,Gesha,8.61248254,8.79988724,8.52275044,8.89922094,8.71951344,8.80623484,8.47255854,8.19282204,8.87986714,8.49466284,2,88.0364066
South America,6.75,88.3,Wet Process,"Caturra Types, Bourbon Types",8.68742139,8.79178009,8.22571909,9.00910909,9.02985339,8.60439259,8.47552259,8.28972589,8.99875599,8.18771989,2,88.0150461
Africa,6.1,88.4,Wet Process,Bourbon Types,8.77399984,8.89606154,8.64146004,9.03443304,8.62843004,8.52591004,8.66936074,8.37370264,8.86697644,7.98966564,2,87.9873866
Africa,7.9,88.3,Dry Process,Bourbon Types,8.8020784,8.7957307,8.3170711,8.8818351,9.3218309,8.5114223,8.6565915,8.0003706,9.0070211,8.0060483,2,87.980699
