Origin,Price,Q-Score,Processing Method,Coffee Variety,Fragrance,Aroma,Brightness,Flavor,Body,Finish,Sweetness,Clean Cup,Complexity,Uniformity,Cuppers Correction,Final
South America,5.45,86.2,Dry Process,"Bourbon Types, Modern Hybrids",7.79775982,8.29809122,8.02089342,8.30989202,9.03990582,7.90848622,8.34706342,7.49866512,8.78996972,8.18927322,4,85.8201198
Caribbean,6.55,86.1,Wet Process,Caturra Types,8.20586718,8.50667518,8.21526568,8.50424618,8.71425478,8.01211018,8.45895518,7.89863768,8.59458958,8.48939838,2.5,85.7897372
Central America,6.4,86.1,Machine Washed,Caturra Types,8.30708225,8.51101215,8.32034215,8.39461235,8.72977545,8.21020415,8.36365805,8.20505625,8.09119225,8.96706495,2,85.7463675
South America,5.35,86.1,Dry Process,"Typica, Bourbon Types",8.00035831,8.40071851,7.33231521,8.29658481,9.23208211,7.81563451,8.16506841,7.99447801,8.68715741,8.17560271,4,85.7319889
Indonesia & Asia,5.8,86.1,Wet Process,"Typica Types, Modern Hybrids",8.21183437,8.39358847,8.12049817,8.49697067,8.73139137,8.30870957,8.37633937,8.49985457,7.99214027,8.96867317,2,85.7294263
Indonesia & Asia,6.55,86.4,Wet Hulled,"Typica Types, Modern Hybrids",7.82370104,7.91895744,7.06418154,8.29539694,9.06853024,8.62682264,8.02490874,6.07553024,9.45740814,8.04456304,6,85.7294126
Decaf,6.9,86.1,Wet Process then SWP Decaf,Bourbon Types,7.9082341,8.117712,7.5261058,7.9901213,8.7211542,8.102004,8.2582244,7.6998081,8.7765474,9.0000887,4,85.722641
Central America,6.35,86,Machine Washed,Caturra Types,8.20775077,8.40069817,8.31788877,8.31788877,8.72732207,8.20775077,8.37226057,8.49577857,7.98804997,8.96461157,2,85.6709013
Central America,5.55,86.1,Wet Process,Modern Hybrids,8.41598576,8.60939276,8.51046726,8.60294216,8.82016056,8.31360306,8.38090386,8.30128446,7.89893496,8.24632516,2,85.6651944
Central America,6.75,86,Wet Process,Bourbon Types,8.19500717,8.50964337,8.11751067,8.49398027,9.03568067,8.01509607,8.18513857,8.49686417,7.98915367,8.46192537,2.5,85.6591583
South America,5.9,86,Wet Process,"Caturra Types, Modern Hybrids",8.19645763,8.51111093,8.21969673,8.49544683,8.52230143,8.40405813,8.37480993,8.31010883,8.69083853,8.27517103,2,85.6458177
South America,5.8,86.1,Dry Process,Bourbon Types,7.79863595,8.02293635,7.33585875,8.28818315,8.83234025,7.90953775,8.07232665,7.79793255,8.77147575,8.27077285,5,85.6375065
South America,5.5,86.1,Dry Process,Caturra Types,8.20726404,8.30620294,7.53455124,8.56322104,8.82104504,8.31797804,8.35516944,7.20052204,8.78485884,8.00918734,4,85.6365896
Central America,6.5,86,Machine Washed,Caturra Types,8.30826209,8.60376949,8.32152099,8.39578839,8.73094009,8.30826209,8.37589089,8.49940509,7.99169459,8.46446629,2,85.6337491
Central America,6.1,87,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.40724647,8.40724647,8.40724647,8.59101097,8.59101097,8.59101097,8.59101097,8.59972377,8.40724647,8.40724647,2,85.6318883
Central America,5.45,86,Wet Process,Bourbon Types,8.1985352,8.6129038,8.5107595,8.5107595,8.9008696,8.2123749,8.4848492,8.2990276,7.8044531,8.4654676,2,85.625042
South America,5.3,86,Dry Process,Modern Hybrids,8.20116822,8.30010712,7.61595262,8.29867662,8.81494922,7.81366792,8.16086782,7.89463342,8.70867742,8.19129962,4,85.5975478
Indonesia & Asia,6.4,86,Wet Process,"Typica Types, Modern Hybrids",7.99817754,8.20419404,7.83941744,8.31527234,9.51811694,7.83257584,8.30320454,7.00082594,8.99966904,7.98854634,4,85.5549296
South America,5.8,86,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.49515973,8.60581363,8.33764523,8.52511373,8.42997043,8.41296163,8.48993553,8.47152293,7.79187503,8.44000213,2,85.5538267
Indonesia & Asia,6.05,86,Wet Hulled,Typica Types,7.79705464,8.21726114,7.54847944,8.31301104,9.04901684,7.72846204,8.37724954,7.01044784,8.76989444,8.18912304,5,85.5533196
Decaf,7.35,86,Wet Process then SWP Decaf,"Caturra Types, Bourbon Types, Typica Types",8.01451798,8.30721688,8.23151328,8.50725958,8.53411318,8.02835778,8.26760508,7.98497888,7.21466038,8.90977698,4,85.5272612
Decaf,7.2,86,Wet Process,Bourbon Types,7.80512266,8.02972296,7.63040906,8.20790936,8.64098626,7.92999826,8.24783686,7.69956046,8.38578396,9.42267016,4,85.4960994
Indonesia & Asia,6.05,86,Wet Process,"Typica Types, Modern Hybrids",8.30175428,8.30175428,8.30175428,8.30175428,8.30175428,8.30175428,8.30175428,8.28421148,8.30175428,8.30175428,3,85.4667402
South America,5.5,85.8,Dry Process,Modern Hybrids,8.0016014,8.1141865,7.6101215,8.2928698,9.0360625,7.9047229,8.1550562,7.9019687,8.5979206,8.1854899,4,85.456427
South America,5.4,85.8,Pulp Natural,"Bourbon Types, Typica Types",8.19876599,8.29770489,7.61355039,8.29627439,8.71282699,8.00501559,8.08094619,7.99291249,8.60131379,8.00068929,4,85.4215701
Indonesia & Asia,5.9,85.8,Wet Hulled,"Typica Types, Modern Hybrids",7.80199825,8.12204275,7.53073225,7.99451545,9.30084615,7.62215855,8.21268855,7.00869995,9.49362955,8.21268855,4.5,85.3689385
South America,5.9,85.7,Dry Process,Bourbon Types,7.80573259,8.20630249,7.21890049,8.27407629,8.80969029,8.02716909,8.17783909,8.00122529,8.00122529,8.17783909,5,85.2391481
South America,5.45,85.5,Pulp Natural,Bourbon Types,8.00600781,8.29869711,7.61454261,8.29726661,8.81353921,7.90913311,8.15113511,7.70072951,8.70726741,8.00168151,4,85.1116479
South America,5.4,85.5,Pulp Natural,Bourbon Types,7.89829784,8.12165504,7.21442274,8.26985224,8.30181274,7.55221994,8.14314604,7.29654074,8.69733764,8.00471504,6,85.0867486
South America,5.3,85.5,Dry Process,Bourbon Types,7.80984379,8.21066639,7.22264169,8.27848409,8.72585559,7.80984379,7.94399999,7.01570439,8.46971779,8.01324249,6,85.0091271
South America,5.3,85.4,Dry Process,Modern Hybrids,8.0148532,8.4042365,7.7373392,8.3061425,8.8224704,8.1117379,8.2679583,7.9020569,7.5956823,8.2375228,4,84.925302
Central America,6.6,86.3,Wet Process,Typica Types,8.29349009,8.29349009,8.29349009,8.56363169,8.56363169,8.56363169,8.56363169,8.57356429,8.29794859,8.29349009,2,84.8058241
South America,6.75,85.2,Pulp Natural,Bourbon Types,7.70471927,8.01392617,7.02652427,8.05118817,8.72517937,8.00919497,7.99383037,7.99709097,7.70390527,7.97444117,6,84.7804913
Central America,5.35,85.2,Wet Process,Caturra Types,8.20562201,8.30456381,8.02738551,8.31636461,8.81942491,8.02570471,8.26495201,8.20114361,7.59272371,8.44211511,3,84.7537919
South America,5.35,85.1,Dry Process,Bourbon Types,7.70098474,7.89928414,8.29672694,8.02097964,8.71329384,7.53490804,8.05094884,7.29313164,8.58860944,8.00113274,5,84.7177696
South America,5.75,85.1,Dry Process,Bourbon Types,7.80583738,7.90725538,6.75505278,7.86718438,8.79042688,7.05851718,7.93990398,7.01222678,7.51993388,8.44366138,8,84.6374612
Central America,5.75,85,Wet Process,Bourbon Types,8.00722263,8.29994243,7.72970863,8.29851193,9.04175703,8.21483463,8.26032773,8.19651453,7.51367713,8.43750333,3,84.6016077
Indonesia & Asia,6.2,86,Wet Process,Hybrids,8.2991291,8.2991291,8.2991291,8.2991291,8.2991291,8.2991291,8.2991291,8.3078381,8.2991291,8.2991291,3,84.486847
Central America,5.85,86,Wet Process,"Caturra Types, Bourbon Types, Typica Types, Modern Hybrids",8.2,8.5,8.1,8.5,9.4,8.3,8.4,8.4,7.7,8.5,2,86
